clip,gap_length,condition,dyad,turn_num,turn_start_msec,video_num,laughter,,
405_3126_29_237.mov,3126,friends,29_237,104,459507,405,yes,,
406_4982_23_254.mov,4982,friends,23_254,14,51722,406,yes,,
407_2487_23_254.mov,2487,friends,23_254,38,124040,407,yes,,
408_2693_23_254.mov,2693,friends,23_254,66,222123,408,yes,,
409_2052_23_254.mov,2052,friends,23_254,115,401529,409,yes,,
410_4187_23_254.mov,4187,friends,23_254,129,451273,410,yes,,
411_5152_23_254.mov,5152,friends,23_254,142,508556,411,yes,,
412_2265_5_222.mov,2265,friends,5_222,47,194240,412,no,,
413_2028_5_222.mov,2028,friends,5_222,51,203696,413,no,,
414_3308_5_222.mov,3308,friends,5_222,62,300283,414,no,,
415_5027_5_222.mov,5027,friends,5_222,85,413161,415,yes,,
416_2248_5_222.mov,2248,friends,5_222,97,455573,416,yes,,
417_2298_5_222.mov,2298,friends,5_222,98,458010,417,no,,
418_2470_5_222.mov,2470,friends,5_222,100,476491,418,no,,
419_3268_5_222.mov,3268,friends,5_222,102,490414,419,no,,
420_2067_5_222.mov,2067,friends,5_222,103,499111,420,yes,,
421_2273_203_101.mov,2273,friends,203_101,140,524805,421,no,,
422_2175_66_247.mov,2175,friends,66_247,23,65365,422,no,,
423_3735_66_247.mov,3735,friends,66_247,53,247529,423,no,,
424_2396_66_247.mov,2396,friends,66_247,93,342019,424,yes,,
425_2594_66_247.mov,2594,friends,66_247,99,355644,425,no,,
426_2516_66_247.mov,2516,friends,66_247,101,361797,426,no,,
427_4145_66_247.mov,4145,friends,66_247,137,460270,427,no,,
428_5813_66_247.mov,5813,friends,66_247,178,579308,428,no,,
429_3771_11_248.mov,3771,friends,11_248,30,78554,429,yes,,
430_2683_11_248.mov,2683,friends,11_248,74,244339,430,no,,
431_2405_110_221.mov,2405,friends,110_221,24,55027,431,no,,
432_3914_110_221.mov,3914,friends,110_221,101,260492,432,yes,,
433_3747_110_221.mov,3747,friends,110_221,125,314461,433,yes,,
434_2391_110_221.mov,2391,friends,110_221,131,334419,434,no,,
435_4725_110_221.mov,4725,friends,110_221,149,379255,435,yes,,
436_2600_110_221.mov,2600,friends,110_221,178,439230,436,yes,,
437_5463_110_221.mov,5463,friends,110_221,190,474067,437,yes,,
438_2065_110_221.mov,2065,friends,110_221,216,525462,438,no,,
439_2403_23_257.mov,2403,friends,23_257,11,28514,439,no,,
440_3637_23_257.mov,3637,friends,23_257,19,43404,440,yes,,
441_2017_23_257.mov,2017,friends,23_257,21,46657,441,no,,
442_2807_23_257.mov,2807,friends,23_257,38,78439,442,no,,
443_3513_23_257.mov,3513,friends,23_257,100,254566,443,no,,
444_3002_23_257.mov,3002,friends,23_257,108,294845,444,no,,
445_3137_23_257.mov,3137,friends,23_257,114,321295,445,no,,
446_4126_23_257.mov,4126,friends,23_257,117,335628,446,yes,,
447_3126_23_257.mov,3126,friends,23_257,168,527377,447,no,,
448_2648_110_220.mov,2648,friends,110_220,171,429374,448,yes,,
449_3632_66_250.mov,3632,friends,66_250,28,92542,449,yes,,
450_2689_66_250.mov,2689,friends,66_250,40,138837,450,yes,,
451_2034_66_250.mov,2034,friends,66_250,76,313764,451,no,,
452_2141_110_219.mov,2141,friends,110_219,93,261168,452,yes,,
453_2990_110_219.mov,2990,friends,110_219,109,299828,453,yes,,
454_2053_110_219.mov,2053,friends,110_219,158,431234,454,yes,,
455_3875_107_259.mov,3875,friends,107_259,16,56083,455,yes,,
456_3048_107_259.mov,3048,friends,107_259,29,97956,456,no,,
457_2127_107_259.mov,2127,friends,107_259,33,160531,457,yes,,
458_4447_107_259.mov,4447,friends,107_259,44,225431,458,yes,,
459_3643_107_259.mov,3643,friends,107_259,59,276702,459,yes,,
460_2291_107_259.mov,2291,friends,107_259,112,448228,460,yes,,
461_2172_107_259.mov,2172,friends,107_259,123,513287,461,yes,,
462_2864_107_259.mov,2864,friends,107_259,130,543388,462,yes,,
463_2311_107_259.mov,2311,friends,107_259,131,546987,463,yes,,
464_2609_107_259.mov,2609,friends,107_259,142,588189,464,yes,,
