clip,gap_length,condition,dyad,turn_num,turn_start_msec,video_num,laughter,,
93_3549_101_105.mov,3549,strangers,101_105,71,136147,93,no,,
94_2499_101_105.mov,2499,strangers,101_105,90,178036,94,no,,
95_2456_101_105.mov,2456,strangers,101_105,148,376835,95,no,,
96_2542_101_105.mov,2542,strangers,101_105,172,460749,96,no,<-- check transcript,
97_2192_101_105.mov,2192,strangers,101_105,194,554332,97,no,,
98_2464_5_7.mov,2464,strangers,5_7,117,474810,98,yes,,
99_2193_82_85.mov,2193,strangers,82_85,60,176270,99,no,,
100_2125_108_106.mov,2125,strangers,108_106,11,21615,100,no,,
101_2495_108_106.mov,2495,strangers,108_106,28,77894,101,no,,
102_2421_105_109.mov,2421,strangers,105_109,12,32917,102,no,,
103_2105_105_109.mov,2105,strangers,105_109,13,74776,103,no,,
104_2148_105_109.mov,2148,strangers,105_109,35,296153,104,no,,
105_2207_105_109.mov,2207,strangers,105_109,63,538641,105,no,,
106_2434_80_84.mov,2434,strangers,80_84,113,340553,106,no,,
107_2320_82_81.mov,2320,strangers,82_81,36,73446,107,no,,
108_2472_82_81.mov,2472,strangers,82_81,155,479225,108,no,,
109_2169_100_104.mov,2169,strangers,100_104,99,237682,109,yes,,
110_2226_110_104.mov,2226,strangers,110_104,128,269166,110,yes,,
111_2333_45_44.mov,2333,strangers,45_44,54,164292,111,no,,
112_2384_100_105.mov,2384,strangers,100_105,94,333999,112,no,,
113_2210_82_80.mov,2210,strangers,82_80,158,481422,113,no,,
114_3821_108_103.mov,3821,strangers,108_103,36,98510,114,no,,
115_2561_108_103.mov,2561,strangers,108_103,48,137485,115,no,,
116_6127_108_103.mov,6127,strangers,108_103,180,584333,116,yes,,
117_2589_47_43.mov,2589,strangers,47_43,33,216738,117,no,,
118_2328_47_43.mov,2328,strangers,47_43,57,496105,118,no,,
119_6060_109_110.mov,6060,strangers,109_110,114,412468,119,yes,,
120_2444_110_107.mov,2444,strangers,110_107,132,466711,120,yes,,
121_2040_100_106.mov,2040,strangers,100_106,15,38346,121,no,,
122_2139_100_106.mov,2139,strangers,100_106,76,296966,122,no,,
123_4170_100_106.mov,4170,strangers,100_106,101,484830,123,no,,
124_2063_100_106.mov,2063,strangers,100_106,109,511904,124,no,,
125_3471_110_106.mov,3471,strangers,110_106,4,32500,125,no,,
126_2584_110_106.mov,2584,strangers,110_106,13,69600,126,no,,
