convo,subID,partnerID,n_total,condition,n_long_500,freq_long_500,n_long_750,freq_long_750,n_long_1000,freq_long_1000,n_long_1250,freq_long_1250,n_long_1500,freq_long_1500,n_long_1750,freq_long_1750,n_long_2000,freq_long_2000,n_long_2250,freq_long_2250,n_long_2500,freq_long_2500,n_long_2750,freq_long_2750,n_long_3000,freq_long_3000
70_64,64,70,151.0,strangers_pure,38.0,0.25165562913907286,20.0,0.13245033112582782,11.0,0.0728476821192053,3.0,0.019867549668874173,2.0,0.013245033112582781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88_85,88,85,112.0,strangers_pure,26.0,0.23214285714285715,15.0,0.13392857142857142,12.0,0.10714285714285714,7.0,0.0625,5.0,0.044642857142857144,3.0,0.026785714285714284,3.0,0.026785714285714284,1.0,0.008928571428571428,1.0,0.008928571428571428,1.0,0.008928571428571428,1.0,0.008928571428571428
88_85,85,88,112.0,strangers_pure,26.0,0.23214285714285715,15.0,0.13392857142857142,12.0,0.10714285714285714,7.0,0.0625,5.0,0.044642857142857144,3.0,0.026785714285714284,3.0,0.026785714285714284,1.0,0.008928571428571428,1.0,0.008928571428571428,1.0,0.008928571428571428,1.0,0.008928571428571428
88_90,88,90,100.0,strangers_pure,11.0,0.11,7.0,0.07,4.0,0.04,3.0,0.03,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88_90,90,88,100.0,strangers_pure,11.0,0.11,7.0,0.07,4.0,0.04,3.0,0.03,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88_84,88,84,75.0,strangers_pure,15.0,0.2,9.0,0.12,7.0,0.09333333333333334,2.0,0.02666666666666667,2.0,0.02666666666666667,1.0,0.013333333333333334,1.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88_84,84,88,75.0,strangers_pure,15.0,0.2,9.0,0.12,7.0,0.09333333333333334,2.0,0.02666666666666667,2.0,0.02666666666666667,1.0,0.013333333333333334,1.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81_88,81,88,198.0,strangers_pure,37.0,0.18686868686868688,15.0,0.07575757575757576,8.0,0.04040404040404041,5.0,0.025252525252525252,3.0,0.015151515151515152,1.0,0.005050505050505051,1.0,0.005050505050505051,1.0,0.005050505050505051,1.0,0.005050505050505051,1.0,0.005050505050505051,0.0,0.0
81_88,88,81,198.0,strangers_pure,37.0,0.18686868686868688,15.0,0.07575757575757576,8.0,0.04040404040404041,5.0,0.025252525252525252,3.0,0.015151515151515152,1.0,0.005050505050505051,1.0,0.005050505050505051,1.0,0.005050505050505051,1.0,0.005050505050505051,1.0,0.005050505050505051,0.0,0.0
28_24,28,24,115.0,strangers_pure,27.0,0.23478260869565218,14.0,0.12173913043478261,8.0,0.06956521739130435,4.0,0.034782608695652174,2.0,0.017391304347826087,2.0,0.017391304347826087,1.0,0.008695652173913044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
