subID,partnerID,dyad,connection_3_before,connection_2_before,connection_1_before,connection_long_gap,connection_1_after,connection_2_after,connection_3_after,gap_length,speaker,speaker_switch,change_in_connection_3_before,change_in_connection_2_before,change_in_connection_1_before,change_in_connection_1_after,change_in_connection_2_after,change_in_connection_3_after,condition
62.0,60.0,60_62,46.55,49.15,50.0,50.0,50.0,50.0,50.0,2066.0,other,yes,-3.450000000000003,-0.8500000000000014,0.0,0.0,0.0,0.0,strangers
60.0,62.0,60_62,46.0,46.0,47.65,48.0,40.15,39.05,39.0,2066.0,self,yes,-2.0,-2.0,-0.3500000000000014,-7.850000000000001,-8.950000000000003,-9.0,strangers
62.0,60.0,60_62,50.0,50.0,50.0,50.0,50.0,50.0,50.0,3082.0,other,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
60.0,62.0,60_62,40.0,40.0,40.0,38.96774193548387,35.0,35.0,35.0,3082.0,self,yes,1.0322580645161281,1.0322580645161281,1.0322580645161281,-3.967741935483872,-3.967741935483872,-3.967741935483872,strangers
62.0,60.0,60_62,57.0,57.0,57.0,57.0,57.0,57.0,57.0,2133.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
60.0,62.0,60_62,82.0,82.0,81.05,81.0,81.0,81.0,81.0,2133.0,other,yes,1.0,1.0,0.04999999999999716,0.0,0.0,0.0,strangers
87.0,88.0,88_87,90.0,90.0,90.0,90.0,90.0,90.0,90.0,2415.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
88.0,87.0,88_87,89.0,89.0,89.0,89.0,89.0,89.0,89.0,2415.0,other,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
87.0,88.0,88_87,90.0,90.0,90.0,90.0,90.0,90.0,90.0,2459.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
88.0,87.0,88_87,93.0,93.0,93.0,93.0,93.0,93.0,93.0,2459.0,other,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
41.0,46.0,41_46,23.0,23.0,23.0,23.0,23.0,23.0,23.0,2057.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
46.0,41.0,41_46,37.0,37.0,37.0,37.04761904761905,38.0,38.0,38.0,2057.0,other,yes,-0.047619047619051,-0.047619047619051,-0.047619047619051,0.952380952380949,0.952380952380949,0.952380952380949,strangers
41.0,46.0,41_46,27.0,27.0,27.0,27.0,27.0,27.0,27.0,3849.0,other,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
46.0,41.0,41_46,35.0,35.0,35.0,35.0,35.0,35.0,35.0,3849.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
60.0,63.0,60_63,93.0,94.0,94.0,92.18181818181819,86.7,85.0,85.0,2127.0,self,yes,0.818181818181813,1.818181818181813,1.818181818181813,-5.481818181818184,-7.181818181818187,-7.181818181818187,strangers
63.0,60.0,60_63,68.25,69.0,69.0,69.0,69.0,69.0,69.0,2127.0,other,yes,-0.75,0.0,0.0,0.0,0.0,0.0,strangers
102.0,106.0,102_106,61.0,61.0,61.0,61.0,61.0,61.0,61.0,2555.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
106.0,102.0,102_106,50.0,50.0,50.0,50.0,50.0,50.0,50.0,2555.0,other,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
102.0,106.0,102_106,70.0,70.0,70.0,70.0,70.0,70.0,70.0,2174.0,other,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
106.0,102.0,102_106,49.0,49.0,49.0,49.0,49.0,49.0,49.0,2174.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
102.0,106.0,102_106,70.0,70.0,70.0,70.0,70.0,69.8,67.6,2303.0,other,yes,0.0,0.0,0.0,0.0,-0.20000000000000284,-2.4000000000000057,strangers
106.0,102.0,102_106,49.0,49.0,49.0,49.0,49.0,49.0,49.0,2303.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
102.0,106.0,102_106,64.0,64.0,64.0,64.0,64.0,63.65,61.0,2094.0,other,yes,0.0,0.0,0.0,0.0,-0.3500000000000014,-3.0,strangers
106.0,102.0,102_106,41.0,41.0,41.0,41.0,41.0,41.0,41.0,2094.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
102.0,106.0,102_106,62.0,61.8,63.0,63.91428571428571,64.0,64.0,64.0,3457.0,other,yes,-1.914285714285711,-2.114285714285714,-0.914285714285711,0.08571428571428896,0.08571428571428896,0.08571428571428896,strangers
106.0,102.0,102_106,41.0,41.0,41.0,42.628571428571426,44.0,44.0,44.0,3457.0,self,yes,-1.6285714285714263,-1.6285714285714263,-1.6285714285714263,1.3714285714285737,1.3714285714285737,1.3714285714285737,strangers
102.0,106.0,102_106,63.8,64.0,64.0,64.0,64.0,63.6,56.4,2390.0,self,yes,-0.20000000000000284,0.0,0.0,0.0,-0.3999999999999986,-7.600000000000001,strangers
106.0,102.0,102_106,41.45,44.0,44.0,44.0,44.0,44.0,44.0,2390.0,other,yes,-2.549999999999997,0.0,0.0,0.0,0.0,0.0,strangers
102.0,106.0,102_106,56.0,56.0,56.0,56.0,56.0,56.0,56.0,2122.0,other,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
106.0,102.0,102_106,44.0,44.0,44.0,44.0,44.0,44.0,44.0,2122.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
102.0,106.0,102_106,59.0,59.0,59.0,59.0,59.0,59.0,59.0,3199.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
106.0,102.0,102_106,46.0,46.0,46.0,46.0,46.0,46.0,46.0,3199.0,other,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
24.0,23.0,24_23,83.95,82.7,82.3,82.76190476190476,81.4,76.05,82.9,2066.0,other,yes,1.1880952380952436,-0.061904761904756356,-0.46190476190476204,-1.3619047619047535,-6.711904761904762,0.1380952380952465,strangers
23.0,24.0,24_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2066.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
70.0,62.0,70_62,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2343.0,other,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
62.0,70.0,70_62,23.0,23.0,23.0,23.0,23.0,23.25,27.35,2343.0,self,yes,0.0,0.0,0.0,0.0,0.25,4.350000000000001,strangers
70.0,62.0,70_62,88.0,88.0,88.0,88.0,88.0,88.0,88.0,2029.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
62.0,70.0,70_62,51.0,51.0,51.0,51.0,51.0,51.0,51.0,2029.0,other,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
70.0,62.0,70_62,91.0,91.0,91.0,91.0,91.0,91.0,91.0,2805.0,other,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
62.0,70.0,70_62,53.5,32.3,23.0,23.0,23.0,23.0,23.0,2805.0,self,yes,30.5,9.299999999999997,0.0,0.0,0.0,0.0,strangers
27.0,26.0,26_27,26.0,26.0,26.0,26.0,26.0,26.0,26.0,2266.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
26.0,27.0,26_27,58.0,58.0,58.0,58.0,58.0,60.85,64.15,2266.0,other,yes,0.0,0.0,0.0,0.0,2.8500000000000014,6.150000000000006,strangers
27.0,26.0,26_27,60.0,60.0,60.0,60.0,60.0,60.0,60.7,2170.0,other,yes,0.0,0.0,0.0,0.0,0.0,0.7000000000000028,strangers
26.0,27.0,26_27,94.05,99.75,100.0,100.0,100.0,100.0,100.0,2170.0,self,yes,-5.950000000000003,-0.25,0.0,0.0,0.0,0.0,strangers
27.0,26.0,26_27,67.0,67.0,67.0,67.0,67.0,67.0,67.0,3310.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
26.0,27.0,26_27,77.0,77.0,77.0,77.0,77.0,77.0,77.0,3310.0,other,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
27.0,26.0,26_27,82.0,82.0,82.0,82.0,82.05,83.0,83.3,2074.0,other,yes,0.0,0.0,0.0,0.04999999999999716,1.0,1.2999999999999972,strangers
26.0,27.0,26_27,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2074.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
27.0,26.0,26_27,89.0,89.0,89.0,89.0,89.0,89.0,89.0,2077.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
26.0,27.0,26_27,52.0,52.0,52.0,52.0,52.0,52.0,52.0,2077.0,other,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
28.0,22.0,28_22,55.0,55.0,55.1,56.0,56.0,64.55,78.2,2706.0,self,yes,-1.0,-1.0,-0.8999999999999986,0.0,8.549999999999997,22.200000000000003,strangers
22.0,28.0,28_22,75.9,76.0,76.0,76.0,76.0,76.0,76.0,2706.0,other,yes,-0.09999999999999432,0.0,0.0,0.0,0.0,0.0,strangers
43.0,46.0,43_46,11.0,11.0,11.0,11.0,11.0,11.0,11.0,2837.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
46.0,43.0,43_46,55.9,55.0,55.0,55.0,55.0,55.0,55.0,2837.0,other,yes,0.8999999999999986,0.0,0.0,0.0,0.0,0.0,strangers
43.0,46.0,43_46,14.0,14.0,14.0,14.0,14.0,14.0,14.0,2028.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
46.0,43.0,43_46,43.0,43.0,43.0,43.0,43.0,43.0,43.0,2028.0,other,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
102.0,103.0,102_103,39.0,39.0,39.0,39.0,39.0,39.0,39.0,2093.0,self,yes,0.0,0.0,0.0,0.0,0.0,0.0,strangers
103.0,102.0,102_103,73.0,73.0,73.0,70.14285714285714,69.25,58.75,58.0,2093.0,other,yes,2.857142857142861,2.857142857142861,2.857142857142861,-0.8928571428571388,-11.392857142857139,-12.142857142857139,strangers
102.0,103.0,102_103,56.0,58.9,62.0,62.0,62.0,62.0,62.0,2917.0,other,yes,-6.0,-3.1000000000000014,0.0,0.0,0.0,0.0,strangers
