subID,partnerID,dyad,connection_3_before,connection_2_before,connection_1_before,connection_long_gap,connection_1_after,connection_2_after,connection_3_after,gap_length,change_in_connection_3_before,change_in_connection_2_before,change_in_connection_1_before,change_in_connection_1_after,change_in_connection_2_after,change_in_connection_3_after,condition
103,101,103_101,63.0,63.0,63.0,63.0,63.0,63.95,65.0,2388.0,0.0,0.0,0.0,0.0,0.9500000000000028,2.0,strangers
101,103,103_101,71.0,71.0,71.0,71.0,70.7,46.05,43.0,2388.0,0.0,0.0,0.0,-0.29999999999999716,-24.950000000000003,-28.0,strangers
103,101,103_101,74.35,79.0,79.0,79.0,79.0,79.0,79.0,2183.0,-4.650000000000006,0.0,0.0,0.0,0.0,0.0,strangers
101,103,103_101,76.0,76.0,76.0,76.0,75.35,75.0,75.0,2183.0,0.0,0.0,0.0,-0.6500000000000057,-1.0,-1.0,strangers
103,101,103_101,82.0,82.0,82.0,82.15384615384616,80.0,80.0,80.0,2612.0,-0.1538461538461604,-0.1538461538461604,-0.1538461538461604,-2.1538461538461604,-2.1538461538461604,-2.1538461538461604,strangers
101,103,103_101,77.85,76.0,76.0,68.42307692307692,51.9,42.0,42.0,2612.0,9.426923076923075,7.57692307692308,7.57692307692308,-16.52307692307692,-26.42307692307692,-26.42307692307692,strangers
103,101,103_101,68.0,68.0,68.0,73.14814814814815,79.6,81.35,80.7,2747.0,-5.148148148148152,-5.148148148148152,-5.148148148148152,6.451851851851842,8.201851851851842,7.5518518518518505,strangers
101,103,103_101,49.95,51.0,51.0,51.0,51.85,70.1,75.0,2747.0,-1.0499999999999972,0.0,0.0,0.8500000000000014,19.099999999999994,24.0,strangers
102,110,102_110,9.0,9.0,10.6,11.74074074074074,12.0,12.0,21.45,2693.0,-2.7407407407407405,-2.7407407407407405,-1.1407407407407408,0.2592592592592595,0.2592592592592595,9.709259259259259,strangers
110,102,102_110,16.0,16.0,16.0,16.0,16.0,16.0,16.0,2693.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
102,110,102_110,38.0,37.4,35.0,35.63636363636363,36.0,36.0,37.9,2205.0,2.363636363636367,1.7636363636363654,-0.6363636363636331,0.36363636363636687,0.36363636363636687,2.2636363636363654,strangers
110,102,102_110,16.0,16.0,16.0,16.0,16.0,16.0,16.0,2205.0,0.0,0.0,0.0,0.0,0.0,0.0,strangers
