clip,gap_length_x,condition_x,dyad,turn_num,turn_start_msec,video_num,laughter,Unnamed: 8,Unnamed: 9,subID,partnerID,timepoint,connection,connection_change,gap_length_y,speaker,condition_y
4_2747_103_101.mov,2747,strangers,103_101,140,482268,4,no,,,101.0,103.0,1_before,51.0,0.0,2747.0,self,strangers
4_2747_103_101.mov,2747,strangers,103_101,140,482268,4,no,,,103.0,101.0,2_before,68.0,-5.148148148148152,2747.0,other,strangers
4_2747_103_101.mov,2747,strangers,103_101,140,482268,4,no,,,101.0,103.0,2_before,51.0,0.0,2747.0,self,strangers
4_2747_103_101.mov,2747,strangers,103_101,140,482268,4,no,,,103.0,101.0,3_before,68.0,-5.148148148148152,2747.0,other,strangers
4_2747_103_101.mov,2747,strangers,103_101,140,482268,4,no,,,101.0,103.0,3_before,49.95,-1.0499999999999972,2747.0,self,strangers
4_2747_103_101.mov,2747,strangers,103_101,140,482268,4,no,,,103.0,101.0,1_after,79.6,6.451851851851842,2747.0,other,strangers
4_2747_103_101.mov,2747,strangers,103_101,140,482268,4,no,,,101.0,103.0,1_after,51.85,0.8500000000000014,2747.0,self,strangers
4_2747_103_101.mov,2747,strangers,103_101,140,482268,4,no,,,103.0,101.0,2_after,81.35,8.201851851851842,2747.0,other,strangers
4_2747_103_101.mov,2747,strangers,103_101,140,482268,4,no,,,101.0,103.0,2_after,70.1,19.099999999999994,2747.0,self,strangers
4_2747_103_101.mov,2747,strangers,103_101,140,482268,4,no,,,103.0,101.0,3_after,80.7,7.55185185185185,2747.0,other,strangers
4_2747_103_101.mov,2747,strangers,103_101,140,482268,4,no,,,101.0,103.0,3_after,75.0,24.0,2747.0,self,strangers
5_2693_102_110.mov,2693,strangers,102_110,10,16875,5,no,,,110.0,102.0,long_gap,16.0,0.0,2693.0,self,strangers
5_2693_102_110.mov,2693,strangers,102_110,10,16875,5,no,,,102.0,110.0,long_gap,11.74074074074074,0.0,2693.0,other,strangers
5_2693_102_110.mov,2693,strangers,102_110,10,16875,5,no,,,110.0,102.0,1_before,16.0,0.0,2693.0,self,strangers
5_2693_102_110.mov,2693,strangers,102_110,10,16875,5,no,,,102.0,110.0,1_before,10.6,-1.1407407407407408,2693.0,other,strangers
5_2693_102_110.mov,2693,strangers,102_110,10,16875,5,no,,,110.0,102.0,2_before,16.0,0.0,2693.0,self,strangers
5_2693_102_110.mov,2693,strangers,102_110,10,16875,5,no,,,102.0,110.0,2_before,9.0,-2.7407407407407405,2693.0,other,strangers
5_2693_102_110.mov,2693,strangers,102_110,10,16875,5,no,,,110.0,102.0,3_before,16.0,0.0,2693.0,self,strangers
5_2693_102_110.mov,2693,strangers,102_110,10,16875,5,no,,,102.0,110.0,3_before,9.0,-2.7407407407407405,2693.0,other,strangers
5_2693_102_110.mov,2693,strangers,102_110,10,16875,5,no,,,110.0,102.0,1_after,16.0,0.0,2693.0,self,strangers
5_2693_102_110.mov,2693,strangers,102_110,10,16875,5,no,,,102.0,110.0,1_after,12.0,0.2592592592592595,2693.0,other,strangers
5_2693_102_110.mov,2693,strangers,102_110,10,16875,5,no,,,110.0,102.0,2_after,16.0,0.0,2693.0,self,strangers
5_2693_102_110.mov,2693,strangers,102_110,10,16875,5,no,,,102.0,110.0,2_after,12.0,0.2592592592592595,2693.0,other,strangers
5_2693_102_110.mov,2693,strangers,102_110,10,16875,5,no,,,110.0,102.0,3_after,16.0,0.0,2693.0,self,strangers
5_2693_102_110.mov,2693,strangers,102_110,10,16875,5,no,,,102.0,110.0,3_after,21.45,9.70925925925926,2693.0,other,strangers
6_2205_102_110.mov,2205,strangers,102_110,25,41912,6,no,,,110.0,102.0,long_gap,16.0,0.0,2205.0,other,strangers
6_2205_102_110.mov,2205,strangers,102_110,25,41912,6,no,,,102.0,110.0,long_gap,35.63636363636363,0.0,2205.0,self,strangers
6_2205_102_110.mov,2205,strangers,102_110,25,41912,6,no,,,110.0,102.0,1_before,16.0,0.0,2205.0,other,strangers
6_2205_102_110.mov,2205,strangers,102_110,25,41912,6,no,,,102.0,110.0,1_before,35.0,-0.6363636363636331,2205.0,self,strangers
6_2205_102_110.mov,2205,strangers,102_110,25,41912,6,no,,,110.0,102.0,2_before,16.0,0.0,2205.0,other,strangers
6_2205_102_110.mov,2205,strangers,102_110,25,41912,6,no,,,102.0,110.0,2_before,37.4,1.7636363636363654,2205.0,self,strangers
6_2205_102_110.mov,2205,strangers,102_110,25,41912,6,no,,,110.0,102.0,3_before,16.0,0.0,2205.0,other,strangers
6_2205_102_110.mov,2205,strangers,102_110,25,41912,6,no,,,102.0,110.0,3_before,38.0,2.363636363636367,2205.0,self,strangers
6_2205_102_110.mov,2205,strangers,102_110,25,41912,6,no,,,110.0,102.0,1_after,16.0,0.0,2205.0,other,strangers
6_2205_102_110.mov,2205,strangers,102_110,25,41912,6,no,,,102.0,110.0,1_after,36.0,0.3636363636363668,2205.0,self,strangers
6_2205_102_110.mov,2205,strangers,102_110,25,41912,6,no,,,110.0,102.0,2_after,16.0,0.0,2205.0,other,strangers
6_2205_102_110.mov,2205,strangers,102_110,25,41912,6,no,,,102.0,110.0,2_after,36.0,0.3636363636363668,2205.0,self,strangers
6_2205_102_110.mov,2205,strangers,102_110,25,41912,6,no,,,110.0,102.0,3_after,16.0,0.0,2205.0,other,strangers
6_2205_102_110.mov,2205,strangers,102_110,25,41912,6,no,,,102.0,110.0,3_after,37.9,2.263636363636365,2205.0,self,strangers
7_2217_88_85.mov,2217,strangers,88_85,27,100176,7,no,,,88.0,85.0,long_gap,75.0,0.0,2217.0,other,strangers
7_2217_88_85.mov,2217,strangers,88_85,27,100176,7,no,,,85.0,88.0,long_gap,47.0,0.0,2217.0,self,strangers
7_2217_88_85.mov,2217,strangers,88_85,27,100176,7,no,,,88.0,85.0,1_before,75.0,0.0,2217.0,other,strangers
7_2217_88_85.mov,2217,strangers,88_85,27,100176,7,no,,,85.0,88.0,1_before,47.0,0.0,2217.0,self,strangers
7_2217_88_85.mov,2217,strangers,88_85,27,100176,7,no,,,88.0,85.0,2_before,75.5,0.5,2217.0,other,strangers
7_2217_88_85.mov,2217,strangers,88_85,27,100176,7,no,,,85.0,88.0,2_before,47.0,0.0,2217.0,self,strangers
7_2217_88_85.mov,2217,strangers,88_85,27,100176,7,no,,,88.0,85.0,3_before,75.65,0.6500000000000057,2217.0,other,strangers
7_2217_88_85.mov,2217,strangers,88_85,27,100176,7,no,,,85.0,88.0,3_before,47.0,0.0,2217.0,self,strangers
7_2217_88_85.mov,2217,strangers,88_85,27,100176,7,no,,,88.0,85.0,1_after,75.0,0.0,2217.0,other,strangers
7_2217_88_85.mov,2217,strangers,88_85,27,100176,7,no,,,85.0,88.0,1_after,47.0,0.0,2217.0,self,strangers
7_2217_88_85.mov,2217,strangers,88_85,27,100176,7,no,,,88.0,85.0,2_after,75.0,0.0,2217.0,other,strangers
7_2217_88_85.mov,2217,strangers,88_85,27,100176,7,no,,,85.0,88.0,2_after,47.0,0.0,2217.0,self,strangers
7_2217_88_85.mov,2217,strangers,88_85,27,100176,7,no,,,88.0,85.0,3_after,75.0,0.0,2217.0,other,strangers
7_2217_88_85.mov,2217,strangers,88_85,27,100176,7,no,,,85.0,88.0,3_after,44.9,-2.1000000000000014,2217.0,self,strangers
8_5539_88_85.mov,5539,strangers,88_85,91,434191,8,no,,,88.0,85.0,long_gap,68.0,0.0,5539.0,other,strangers
8_5539_88_85.mov,5539,strangers,88_85,91,434191,8,no,,,85.0,88.0,long_gap,47.4,0.0,5539.0,self,strangers
8_5539_88_85.mov,5539,strangers,88_85,91,434191,8,no,,,88.0,85.0,1_before,68.0,0.0,5539.0,other,strangers
8_5539_88_85.mov,5539,strangers,88_85,91,434191,8,no,,,85.0,88.0,1_before,61.95,14.550000000000004,5539.0,self,strangers
8_5539_88_85.mov,5539,strangers,88_85,91,434191,8,no,,,88.0,85.0,2_before,68.0,0.0,5539.0,other,strangers
8_5539_88_85.mov,5539,strangers,88_85,91,434191,8,no,,,85.0,88.0,2_before,63.0,15.6,5539.0,self,strangers
8_5539_88_85.mov,5539,strangers,88_85,91,434191,8,no,,,88.0,85.0,3_before,68.0,0.0,5539.0,other,strangers
8_5539_88_85.mov,5539,strangers,88_85,91,434191,8,no,,,85.0,88.0,3_before,63.0,15.6,5539.0,self,strangers
8_5539_88_85.mov,5539,strangers,88_85,91,434191,8,no,,,88.0,85.0,1_after,68.0,0.0,5539.0,other,strangers
8_5539_88_85.mov,5539,strangers,88_85,91,434191,8,no,,,85.0,88.0,1_after,28.45,-18.95,5539.0,self,strangers
8_5539_88_85.mov,5539,strangers,88_85,91,434191,8,no,,,88.0,85.0,2_after,68.0,0.0,5539.0,other,strangers
8_5539_88_85.mov,5539,strangers,88_85,91,434191,8,no,,,85.0,88.0,2_after,31.7,-15.7,5539.0,self,strangers
8_5539_88_85.mov,5539,strangers,88_85,91,434191,8,no,,,88.0,85.0,3_after,68.0,0.0,5539.0,other,strangers
8_5539_88_85.mov,5539,strangers,88_85,91,434191,8,no,,,85.0,88.0,3_after,32.4,-15.0,5539.0,self,strangers
9_2153_88_85.mov,2153,strangers,88_85,101,494513,9,yes,,,88.0,85.0,long_gap,68.0,0.0,2153.0,self,strangers
9_2153_88_85.mov,2153,strangers,88_85,101,494513,9,yes,,,85.0,88.0,long_gap,75.0,0.0,2153.0,other,strangers
9_2153_88_85.mov,2153,strangers,88_85,101,494513,9,yes,,,88.0,85.0,1_before,68.0,0.0,2153.0,self,strangers
9_2153_88_85.mov,2153,strangers,88_85,101,494513,9,yes,,,85.0,88.0,1_before,75.0,0.0,2153.0,other,strangers
9_2153_88_85.mov,2153,strangers,88_85,101,494513,9,yes,,,88.0,85.0,2_before,68.0,0.0,2153.0,self,strangers
9_2153_88_85.mov,2153,strangers,88_85,101,494513,9,yes,,,85.0,88.0,2_before,75.0,0.0,2153.0,other,strangers
9_2153_88_85.mov,2153,strangers,88_85,101,494513,9,yes,,,88.0,85.0,3_before,68.0,0.0,2153.0,self,strangers
9_2153_88_85.mov,2153,strangers,88_85,101,494513,9,yes,,,85.0,88.0,3_before,74.35,-0.6500000000000057,2153.0,other,strangers
9_2153_88_85.mov,2153,strangers,88_85,101,494513,9,yes,,,88.0,85.0,1_after,68.0,0.0,2153.0,self,strangers
9_2153_88_85.mov,2153,strangers,88_85,101,494513,9,yes,,,85.0,88.0,1_after,75.0,0.0,2153.0,other,strangers
9_2153_88_85.mov,2153,strangers,88_85,101,494513,9,yes,,,88.0,85.0,2_after,68.0,0.0,2153.0,self,strangers
9_2153_88_85.mov,2153,strangers,88_85,101,494513,9,yes,,,85.0,88.0,2_after,75.0,0.0,2153.0,other,strangers
9_2153_88_85.mov,2153,strangers,88_85,101,494513,9,yes,,,88.0,85.0,3_after,68.0,0.0,2153.0,self,strangers
9_2153_88_85.mov,2153,strangers,88_85,101,494513,9,yes,,,85.0,88.0,3_after,75.0,0.0,2153.0,other,strangers
10_2796_81_88.mov,2796,strangers,81_88,36,78191,10,no,,,88.0,81.0,long_gap,58.0,0.0,2796.0,self,strangers
10_2796_81_88.mov,2796,strangers,81_88,36,78191,10,no,,,81.0,88.0,long_gap,0.0,0.0,2796.0,other,strangers
10_2796_81_88.mov,2796,strangers,81_88,36,78191,10,no,,,88.0,81.0,1_before,58.0,0.0,2796.0,self,strangers
10_2796_81_88.mov,2796,strangers,81_88,36,78191,10,no,,,81.0,88.0,1_before,0.0,0.0,2796.0,other,strangers
10_2796_81_88.mov,2796,strangers,81_88,36,78191,10,no,,,88.0,81.0,2_before,57.85,-0.1499999999999985,2796.0,self,strangers
10_2796_81_88.mov,2796,strangers,81_88,36,78191,10,no,,,81.0,88.0,2_before,0.0,0.0,2796.0,other,strangers
10_2796_81_88.mov,2796,strangers,81_88,36,78191,10,no,,,88.0,81.0,3_before,57.0,-1.0,2796.0,self,strangers
10_2796_81_88.mov,2796,strangers,81_88,36,78191,10,no,,,81.0,88.0,3_before,0.0,0.0,2796.0,other,strangers
10_2796_81_88.mov,2796,strangers,81_88,36,78191,10,no,,,88.0,81.0,1_after,58.0,0.0,2796.0,self,strangers
10_2796_81_88.mov,2796,strangers,81_88,36,78191,10,no,,,81.0,88.0,1_after,0.0,0.0,2796.0,other,strangers
10_2796_81_88.mov,2796,strangers,81_88,36,78191,10,no,,,88.0,81.0,2_after,58.7,0.7000000000000028,2796.0,self,strangers
10_2796_81_88.mov,2796,strangers,81_88,36,78191,10,no,,,81.0,88.0,2_after,0.0,0.0,2796.0,other,strangers
10_2796_81_88.mov,2796,strangers,81_88,36,78191,10,no,,,88.0,81.0,3_after,60.0,2.0,2796.0,self,strangers
10_2796_81_88.mov,2796,strangers,81_88,36,78191,10,no,,,81.0,88.0,3_after,0.0,0.0,2796.0,other,strangers
11_2130_6_7.mov,2130,strangers,6_7,30,56177,11,no,,,6.0,7.0,long_gap,0.0,0.0,2130.0,self,strangers
11_2130_6_7.mov,2130,strangers,6_7,30,56177,11,no,,,7.0,6.0,long_gap,20.0,0.0,2130.0,other,strangers
11_2130_6_7.mov,2130,strangers,6_7,30,56177,11,no,,,6.0,7.0,1_before,0.0,0.0,2130.0,self,strangers
11_2130_6_7.mov,2130,strangers,6_7,30,56177,11,no,,,7.0,6.0,1_before,20.0,0.0,2130.0,other,strangers
11_2130_6_7.mov,2130,strangers,6_7,30,56177,11,no,,,6.0,7.0,2_before,0.0,0.0,2130.0,self,strangers
11_2130_6_7.mov,2130,strangers,6_7,30,56177,11,no,,,7.0,6.0,2_before,20.0,0.0,2130.0,other,strangers
11_2130_6_7.mov,2130,strangers,6_7,30,56177,11,no,,,6.0,7.0,3_before,0.0,0.0,2130.0,self,strangers
11_2130_6_7.mov,2130,strangers,6_7,30,56177,11,no,,,7.0,6.0,3_before,20.0,0.0,2130.0,other,strangers
11_2130_6_7.mov,2130,strangers,6_7,30,56177,11,no,,,6.0,7.0,1_after,0.0,0.0,2130.0,self,strangers
11_2130_6_7.mov,2130,strangers,6_7,30,56177,11,no,,,7.0,6.0,1_after,20.0,0.0,2130.0,other,strangers
11_2130_6_7.mov,2130,strangers,6_7,30,56177,11,no,,,6.0,7.0,2_after,0.0,0.0,2130.0,self,strangers
11_2130_6_7.mov,2130,strangers,6_7,30,56177,11,no,,,7.0,6.0,2_after,20.0,0.0,2130.0,other,strangers
11_2130_6_7.mov,2130,strangers,6_7,30,56177,11,no,,,6.0,7.0,3_after,0.0,0.0,2130.0,self,strangers
11_2130_6_7.mov,2130,strangers,6_7,30,56177,11,no,,,7.0,6.0,3_after,20.0,0.0,2130.0,other,strangers
12_2972_6_7.mov,2972,strangers,6_7,48,107242,12,no,,,6.0,7.0,long_gap,16.0,0.0,2972.0,self,strangers
12_2972_6_7.mov,2972,strangers,6_7,48,107242,12,no,,,7.0,6.0,long_gap,22.0,0.0,2972.0,other,strangers
12_2972_6_7.mov,2972,strangers,6_7,48,107242,12,no,,,6.0,7.0,1_before,16.0,0.0,2972.0,self,strangers
12_2972_6_7.mov,2972,strangers,6_7,48,107242,12,no,,,7.0,6.0,1_before,22.0,0.0,2972.0,other,strangers
12_2972_6_7.mov,2972,strangers,6_7,48,107242,12,no,,,6.0,7.0,2_before,16.0,0.0,2972.0,self,strangers
12_2972_6_7.mov,2972,strangers,6_7,48,107242,12,no,,,7.0,6.0,2_before,22.0,0.0,2972.0,other,strangers
12_2972_6_7.mov,2972,strangers,6_7,48,107242,12,no,,,6.0,7.0,3_before,16.0,0.0,2972.0,self,strangers
12_2972_6_7.mov,2972,strangers,6_7,48,107242,12,no,,,7.0,6.0,3_before,22.0,0.0,2972.0,other,strangers
12_2972_6_7.mov,2972,strangers,6_7,48,107242,12,no,,,6.0,7.0,1_after,16.0,0.0,2972.0,self,strangers
12_2972_6_7.mov,2972,strangers,6_7,48,107242,12,no,,,7.0,6.0,1_after,22.0,0.0,2972.0,other,strangers
12_2972_6_7.mov,2972,strangers,6_7,48,107242,12,no,,,6.0,7.0,2_after,16.0,0.0,2972.0,self,strangers
12_2972_6_7.mov,2972,strangers,6_7,48,107242,12,no,,,7.0,6.0,2_after,22.0,0.0,2972.0,other,strangers
12_2972_6_7.mov,2972,strangers,6_7,48,107242,12,no,,,6.0,7.0,3_after,16.0,0.0,2972.0,self,strangers
12_2972_6_7.mov,2972,strangers,6_7,48,107242,12,no,,,7.0,6.0,3_after,22.0,0.0,2972.0,other,strangers
13_2365_6_7.mov,2365,strangers,6_7,53,118200,13,no,,,6.0,7.0,long_gap,16.0,0.0,2365.0,other,strangers
13_2365_6_7.mov,2365,strangers,6_7,53,118200,13,no,,,7.0,6.0,long_gap,22.0,0.0,2365.0,self,strangers
13_2365_6_7.mov,2365,strangers,6_7,53,118200,13,no,,,6.0,7.0,1_before,16.0,0.0,2365.0,other,strangers
13_2365_6_7.mov,2365,strangers,6_7,53,118200,13,no,,,7.0,6.0,1_before,22.0,0.0,2365.0,self,strangers
13_2365_6_7.mov,2365,strangers,6_7,53,118200,13,no,,,6.0,7.0,2_before,16.0,0.0,2365.0,other,strangers
13_2365_6_7.mov,2365,strangers,6_7,53,118200,13,no,,,7.0,6.0,2_before,22.0,0.0,2365.0,self,strangers
13_2365_6_7.mov,2365,strangers,6_7,53,118200,13,no,,,6.0,7.0,3_before,16.0,0.0,2365.0,other,strangers
13_2365_6_7.mov,2365,strangers,6_7,53,118200,13,no,,,7.0,6.0,3_before,22.0,0.0,2365.0,self,strangers
