clip,gap_length_x,condition_x,dyad,turn_num,turn_start_msec,video_num,laughter,Unnamed: 8,Unnamed: 9,subID,partnerID,timepoint,connection,connection_change,gap_length_y,speaker,condition_y
63_5029_26_30.mov,5029,strangers,26_30,28,55998,63,yes,,,26.0,30.0,3_before,58.0,0.0,5029.0,self,strangers
63_5029_26_30.mov,5029,strangers,26_30,28,55998,63,yes,,,30.0,26.0,3_before,24.0,0.0,5029.0,other,strangers
63_5029_26_30.mov,5029,strangers,26_30,28,55998,63,yes,,,26.0,30.0,1_after,58.0,0.0,5029.0,self,strangers
63_5029_26_30.mov,5029,strangers,26_30,28,55998,63,yes,,,30.0,26.0,1_after,24.0,0.0,5029.0,other,strangers
63_5029_26_30.mov,5029,strangers,26_30,28,55998,63,yes,,,26.0,30.0,2_after,58.0,0.0,5029.0,self,strangers
63_5029_26_30.mov,5029,strangers,26_30,28,55998,63,yes,,,30.0,26.0,2_after,24.0,0.0,5029.0,other,strangers
63_5029_26_30.mov,5029,strangers,26_30,28,55998,63,yes,,,26.0,30.0,3_after,58.0,0.0,5029.0,self,strangers
63_5029_26_30.mov,5029,strangers,26_30,28,55998,63,yes,,,30.0,26.0,3_after,24.0,0.0,5029.0,other,strangers
64_2027_60_65.mov,2027,strangers,60_65,10,11129,64,no,,,60.0,65.0,long_gap,0.0,0.0,2027.0,self,strangers
64_2027_60_65.mov,2027,strangers,60_65,10,11129,64,no,,,65.0,60.0,long_gap,0.0,0.0,2027.0,other,strangers
64_2027_60_65.mov,2027,strangers,60_65,10,11129,64,no,,,60.0,65.0,1_before,0.0,0.0,2027.0,self,strangers
64_2027_60_65.mov,2027,strangers,60_65,10,11129,64,no,,,65.0,60.0,1_before,0.0,0.0,2027.0,other,strangers
64_2027_60_65.mov,2027,strangers,60_65,10,11129,64,no,,,60.0,65.0,2_before,0.0,0.0,2027.0,self,strangers
64_2027_60_65.mov,2027,strangers,60_65,10,11129,64,no,,,65.0,60.0,2_before,0.0,0.0,2027.0,other,strangers
