subID,partnerID,dyad,connection_3_before,connection_2_before,connection_1_before,connection_long_gap,connection_1_after,connection_2_after,connection_3_after,gap_length,change_in_connection_3_before,change_in_connection_2_before,change_in_connection_1_before,change_in_connection_1_after,change_in_connection_2_after,change_in_connection_3_after
43,40,43_40,89.0,89.0,89.0,89.0,89.0,89.0,89.0,2413.0,0.0,0.0,0.0,0.0,0.0,0.0
40,43,43_40,72.0,72.0,72.0,72.0,72.0,72.0,72.0,2413.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,6_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2130.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6,6_7,20.0,20.0,20.0,20.0,20.0,20.0,20.0,2130.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,6_7,16.0,16.0,16.0,16.0,16.0,16.0,16.0,2972.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6,6_7,22.0,22.0,22.0,22.0,22.0,22.0,22.0,2972.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,6_7,16.0,16.0,16.0,16.0,16.0,16.0,16.0,2365.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6,6_7,22.0,22.0,22.0,22.0,22.0,25.75,31.0,2365.0,0.0,0.0,0.0,0.0,3.75,9.0
6,7,6_7,17.15,25.0,25.0,25.0,25.0,25.0,25.0,2399.0,-7.850000000000001,0.0,0.0,0.0,0.0,0.0
7,6,6_7,31.0,31.0,31.0,31.0,31.0,31.0,31.0,2399.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,6_7,40.0,40.0,40.0,40.0,40.0,40.0,40.0,3003.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6,6_7,51.0,51.0,51.3,56.8,57.0,57.0,57.0,3003.0,-5.799999999999997,-5.799999999999997,-5.5,0.20000000000000284,0.20000000000000284,0.20000000000000284
6,7,6_7,48.0,48.0,48.0,30.77777777777778,30.0,30.0,30.0,4523.0,17.22222222222222,17.22222222222222,17.22222222222222,-0.7777777777777786,-0.7777777777777786,-0.7777777777777786
7,6,6_7,57.0,57.0,57.0,57.0,60.9,62.0,62.0,4523.0,0.0,0.0,0.0,3.8999999999999986,5.0,5.0
6,7,6_7,30.0,30.0,30.0,30.0,30.0,30.0,30.0,2388.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6,6_7,62.0,62.0,62.0,62.0,62.0,62.0,62.0,2388.0,0.0,0.0,0.0,0.0,0.0,0.0
102,107,102_107,64.0,64.0,64.0,64.0,64.0,64.0,60.35,2016.0,0.0,0.0,0.0,0.0,0.0,-3.6499999999999986
107,102,102_107,76.0,77.2,78.0,78.0,78.0,78.0,74.75,2016.0,-2.0,-0.7999999999999972,0.0,0.0,0.0,-3.25
60,62,60_62,46.0,46.0,47.65,48.0,40.15,39.05,39.0,2066.0,-2.0,-2.0,-0.3500000000000014,-7.850000000000001,-8.950000000000003,-9.0
62,60,60_62,46.55,49.15,50.0,50.0,50.0,50.0,50.0,2066.0,-3.450000000000003,-0.8500000000000014,0.0,0.0,0.0,0.0
60,62,60_62,40.0,40.0,40.0,38.96774193548387,35.0,35.0,35.0,3082.0,1.0322580645161281,1.0322580645161281,1.0322580645161281,-3.967741935483872,-3.967741935483872,-3.967741935483872
