subID,partnerID,dyad,timepoint,connection,connection_change,gap_length,speaker,turn_num
102.0,110.0,102_110,3_after,37.9,2.2636363636363654,2205.0,self,25.0
88.0,85.0,88_85,long_gap,75.0,0.0,2217.0,other,27.0
85.0,88.0,88_85,long_gap,47.0,0.0,2217.0,self,27.0
88.0,85.0,88_85,1_before,75.0,0.0,2217.0,other,27.0
85.0,88.0,88_85,1_before,47.0,0.0,2217.0,self,27.0
88.0,85.0,88_85,2_before,75.5,0.5,2217.0,other,27.0
85.0,88.0,88_85,2_before,47.0,0.0,2217.0,self,27.0
88.0,85.0,88_85,3_before,75.65,0.6500000000000057,2217.0,other,27.0
85.0,88.0,88_85,3_before,47.0,0.0,2217.0,self,27.0
88.0,85.0,88_85,1_after,75.0,0.0,2217.0,other,27.0
85.0,88.0,88_85,1_after,47.0,0.0,2217.0,self,27.0
88.0,85.0,88_85,2_after,75.0,0.0,2217.0,other,27.0
85.0,88.0,88_85,2_after,47.0,0.0,2217.0,self,27.0
88.0,85.0,88_85,3_after,75.0,0.0,2217.0,other,27.0
85.0,88.0,88_85,3_after,44.9,-2.1000000000000014,2217.0,self,27.0
88.0,85.0,88_85,long_gap,68.0,0.0,5539.0,other,91.0
85.0,88.0,88_85,long_gap,47.4,0.0,5539.0,self,91.0
88.0,85.0,88_85,1_before,68.0,0.0,5539.0,other,91.0
85.0,88.0,88_85,1_before,61.95,14.550000000000004,5539.0,self,91.0
88.0,85.0,88_85,2_before,68.0,0.0,5539.0,other,91.0
85.0,88.0,88_85,2_before,63.0,15.600000000000001,5539.0,self,91.0
88.0,85.0,88_85,3_before,68.0,0.0,5539.0,other,91.0
85.0,88.0,88_85,3_before,63.0,15.600000000000001,5539.0,self,91.0
88.0,85.0,88_85,1_after,68.0,0.0,5539.0,other,91.0
85.0,88.0,88_85,1_after,28.45,-18.95,5539.0,self,91.0
88.0,85.0,88_85,2_after,68.0,0.0,5539.0,other,91.0
85.0,88.0,88_85,2_after,31.7,-15.7,5539.0,self,91.0
88.0,85.0,88_85,3_after,68.0,0.0,5539.0,other,91.0
85.0,88.0,88_85,3_after,32.4,-15.0,5539.0,self,91.0
88.0,85.0,88_85,long_gap,68.0,0.0,2153.0,self,101.0
85.0,88.0,88_85,long_gap,75.0,0.0,2153.0,other,101.0
88.0,85.0,88_85,1_before,68.0,0.0,2153.0,self,101.0
85.0,88.0,88_85,1_before,75.0,0.0,2153.0,other,101.0
88.0,85.0,88_85,2_before,68.0,0.0,2153.0,self,101.0
85.0,88.0,88_85,2_before,75.0,0.0,2153.0,other,101.0
88.0,85.0,88_85,3_before,68.0,0.0,2153.0,self,101.0
85.0,88.0,88_85,3_before,74.35,-0.6500000000000057,2153.0,other,101.0
88.0,85.0,88_85,1_after,68.0,0.0,2153.0,self,101.0
85.0,88.0,88_85,1_after,75.0,0.0,2153.0,other,101.0
88.0,85.0,88_85,2_after,68.0,0.0,2153.0,self,101.0
85.0,88.0,88_85,2_after,75.0,0.0,2153.0,other,101.0
88.0,85.0,88_85,3_after,68.0,0.0,2153.0,self,101.0
85.0,88.0,88_85,3_after,75.0,0.0,2153.0,other,101.0
88.0,81.0,81_88,long_gap,58.0,0.0,2796.0,self,36.0
81.0,88.0,81_88,long_gap,0.0,0.0,2796.0,other,36.0
88.0,81.0,81_88,1_before,58.0,0.0,2796.0,self,36.0
81.0,88.0,81_88,1_before,0.0,0.0,2796.0,other,36.0
88.0,81.0,81_88,2_before,57.85,-0.14999999999999858,2796.0,self,36.0
81.0,88.0,81_88,2_before,0.0,0.0,2796.0,other,36.0
88.0,81.0,81_88,3_before,57.0,-1.0,2796.0,self,36.0
81.0,88.0,81_88,3_before,0.0,0.0,2796.0,other,36.0
88.0,81.0,81_88,1_after,58.0,0.0,2796.0,self,36.0
81.0,88.0,81_88,1_after,0.0,0.0,2796.0,other,36.0
88.0,81.0,81_88,2_after,58.7,0.7000000000000028,2796.0,self,36.0
81.0,88.0,81_88,2_after,0.0,0.0,2796.0,other,36.0
88.0,81.0,81_88,3_after,60.0,2.0,2796.0,self,36.0
81.0,88.0,81_88,3_after,0.0,0.0,2796.0,other,36.0
6.0,7.0,6_7,long_gap,0.0,0.0,2130.0,self,30.0
7.0,6.0,6_7,long_gap,20.0,0.0,2130.0,other,30.0
6.0,7.0,6_7,1_before,0.0,0.0,2130.0,self,30.0
7.0,6.0,6_7,1_before,20.0,0.0,2130.0,other,30.0
6.0,7.0,6_7,2_before,0.0,0.0,2130.0,self,30.0
7.0,6.0,6_7,2_before,20.0,0.0,2130.0,other,30.0
6.0,7.0,6_7,3_before,0.0,0.0,2130.0,self,30.0
7.0,6.0,6_7,3_before,20.0,0.0,2130.0,other,30.0
6.0,7.0,6_7,1_after,0.0,0.0,2130.0,self,30.0
7.0,6.0,6_7,1_after,20.0,0.0,2130.0,other,30.0
6.0,7.0,6_7,2_after,0.0,0.0,2130.0,self,30.0
7.0,6.0,6_7,2_after,20.0,0.0,2130.0,other,30.0
6.0,7.0,6_7,3_after,0.0,0.0,2130.0,self,30.0
7.0,6.0,6_7,3_after,20.0,0.0,2130.0,other,30.0
6.0,7.0,6_7,long_gap,16.0,0.0,2972.0,self,48.0
7.0,6.0,6_7,long_gap,22.0,0.0,2972.0,other,48.0
6.0,7.0,6_7,1_before,16.0,0.0,2972.0,self,48.0
7.0,6.0,6_7,1_before,22.0,0.0,2972.0,other,48.0
6.0,7.0,6_7,2_before,16.0,0.0,2972.0,self,48.0
7.0,6.0,6_7,2_before,22.0,0.0,2972.0,other,48.0
6.0,7.0,6_7,3_before,16.0,0.0,2972.0,self,48.0
7.0,6.0,6_7,3_before,22.0,0.0,2972.0,other,48.0
6.0,7.0,6_7,1_after,16.0,0.0,2972.0,self,48.0
7.0,6.0,6_7,1_after,22.0,0.0,2972.0,other,48.0
6.0,7.0,6_7,2_after,16.0,0.0,2972.0,self,48.0
7.0,6.0,6_7,2_after,22.0,0.0,2972.0,other,48.0
6.0,7.0,6_7,3_after,16.0,0.0,2972.0,self,48.0
7.0,6.0,6_7,3_after,22.0,0.0,2972.0,other,48.0
6.0,7.0,6_7,long_gap,16.0,0.0,2365.0,other,53.0
7.0,6.0,6_7,long_gap,22.0,0.0,2365.0,self,53.0
6.0,7.0,6_7,1_before,16.0,0.0,2365.0,other,53.0
7.0,6.0,6_7,1_before,22.0,0.0,2365.0,self,53.0
6.0,7.0,6_7,2_before,16.0,0.0,2365.0,other,53.0
7.0,6.0,6_7,2_before,22.0,0.0,2365.0,self,53.0
6.0,7.0,6_7,3_before,16.0,0.0,2365.0,other,53.0
7.0,6.0,6_7,3_before,22.0,0.0,2365.0,self,53.0
6.0,7.0,6_7,1_after,16.0,0.0,2365.0,other,53.0
7.0,6.0,6_7,1_after,22.0,0.0,2365.0,self,53.0
6.0,7.0,6_7,2_after,16.0,0.0,2365.0,other,53.0
7.0,6.0,6_7,2_after,25.75,3.75,2365.0,self,53.0
6.0,7.0,6_7,3_after,16.0,0.0,2365.0,other,53.0
7.0,6.0,6_7,3_after,31.0,9.0,2365.0,self,53.0
6.0,7.0,6_7,long_gap,25.0,0.0,2399.0,self,76.0
7.0,6.0,6_7,long_gap,31.0,0.0,2399.0,other,76.0
6.0,7.0,6_7,1_before,25.0,0.0,2399.0,self,76.0
7.0,6.0,6_7,1_before,31.0,0.0,2399.0,other,76.0
6.0,7.0,6_7,2_before,25.0,0.0,2399.0,self,76.0
7.0,6.0,6_7,2_before,31.0,0.0,2399.0,other,76.0
6.0,7.0,6_7,3_before,17.15,-7.850000000000001,2399.0,self,76.0
7.0,6.0,6_7,3_before,31.0,0.0,2399.0,other,76.0
6.0,7.0,6_7,1_after,25.0,0.0,2399.0,self,76.0
7.0,6.0,6_7,1_after,31.0,0.0,2399.0,other,76.0
6.0,7.0,6_7,2_after,25.0,0.0,2399.0,self,76.0
7.0,6.0,6_7,2_after,31.0,0.0,2399.0,other,76.0
6.0,7.0,6_7,3_after,25.0,0.0,2399.0,self,76.0
7.0,6.0,6_7,3_after,31.0,0.0,2399.0,other,76.0
6.0,7.0,6_7,long_gap,40.0,0.0,3003.0,self,96.0
7.0,6.0,6_7,long_gap,56.8,0.0,3003.0,other,96.0
6.0,7.0,6_7,1_before,40.0,0.0,3003.0,self,96.0
7.0,6.0,6_7,1_before,51.3,-5.5,3003.0,other,96.0
6.0,7.0,6_7,2_before,40.0,0.0,3003.0,self,96.0
7.0,6.0,6_7,2_before,51.0,-5.799999999999997,3003.0,other,96.0
6.0,7.0,6_7,3_before,40.0,0.0,3003.0,self,96.0
7.0,6.0,6_7,3_before,51.0,-5.799999999999997,3003.0,other,96.0
6.0,7.0,6_7,1_after,40.0,0.0,3003.0,self,96.0
7.0,6.0,6_7,1_after,57.0,0.20000000000000284,3003.0,other,96.0
6.0,7.0,6_7,2_after,40.0,0.0,3003.0,self,96.0
