subID,partnerID,dyad,timepoint,connection,connection_change,gap_length,condition
103,101,103_101,1_before,82.0,0.0,2612.0,strangers
101,103,103_101,1_before,76.0,-1.8499999999999943,2612.0,strangers
103,101,103_101,2_before,82.0,0.0,2612.0,strangers
101,103,103_101,2_before,76.0,-1.8499999999999943,2612.0,strangers
103,101,103_101,1_after,80.0,-2.0,2612.0,strangers
101,103,103_101,1_after,51.9,-25.949999999999996,2612.0,strangers
103,101,103_101,2_after,80.0,-2.0,2612.0,strangers
101,103,103_101,2_after,42.0,-35.849999999999994,2612.0,strangers
103,101,103_101,3_after,80.0,-2.0,2612.0,strangers
101,103,103_101,3_after,42.0,-35.849999999999994,2612.0,strangers
103,101,103_101,3_before,80.0,0.0,1636.0,strangers
101,103,103_101,3_before,38.0,0.0,1636.0,strangers
103,101,103_101,long_gap,76.0,-4.0,1636.0,strangers
101,103,103_101,long_gap,38.0,0.0,1636.0,strangers
103,101,103_101,1_before,76.0,-4.0,1636.0,strangers
101,103,103_101,1_before,38.0,0.0,1636.0,strangers
103,101,103_101,2_before,76.9,-3.0999999999999943,1636.0,strangers
101,103,103_101,2_before,38.0,0.0,1636.0,strangers
103,101,103_101,1_after,72.55,-7.450000000000003,1636.0,strangers
101,103,103_101,1_after,38.0,0.0,1636.0,strangers
103,101,103_101,2_after,49.95,-30.049999999999997,1636.0,strangers
101,103,103_101,2_after,38.0,0.0,1636.0,strangers
103,101,103_101,3_after,48.0,-32.0,1636.0,strangers
101,103,103_101,3_after,38.0,0.0,1636.0,strangers
103,101,103_101,3_before,48.0,0.0,1002.0,strangers
101,103,103_101,3_before,38.0,0.0,1002.0,strangers
103,101,103_101,long_gap,48.0,0.0,1002.0,strangers
101,103,103_101,long_gap,37.8,-0.20000000000000284,1002.0,strangers
103,101,103_101,1_before,48.0,0.0,1002.0,strangers
101,103,103_101,1_before,38.0,0.0,1002.0,strangers
103,101,103_101,2_before,48.0,0.0,1002.0,strangers
101,103,103_101,2_before,38.0,0.0,1002.0,strangers
103,101,103_101,1_after,48.0,0.0,1002.0,strangers
101,103,103_101,1_after,37.0,-1.0,1002.0,strangers
103,101,103_101,2_after,48.0,0.0,1002.0,strangers
101,103,103_101,2_after,37.0,-1.0,1002.0,strangers
103,101,103_101,3_after,48.0,0.0,1002.0,strangers
101,103,103_101,3_after,37.0,-1.0,1002.0,strangers
103,101,103_101,3_before,48.0,0.0,1287.0,strangers
101,103,103_101,3_before,38.0,0.0,1287.0,strangers
103,101,103_101,long_gap,48.0,0.0,1287.0,strangers
101,103,103_101,long_gap,38.0,0.0,1287.0,strangers
103,101,103_101,1_before,48.0,0.0,1287.0,strangers
101,103,103_101,1_before,38.0,0.0,1287.0,strangers
103,101,103_101,2_before,48.0,0.0,1287.0,strangers
101,103,103_101,2_before,38.0,0.0,1287.0,strangers
103,101,103_101,1_after,48.0,0.0,1287.0,strangers
101,103,103_101,1_after,38.1,0.10000000000000142,1287.0,strangers
103,101,103_101,2_after,48.0,0.0,1287.0,strangers
101,103,103_101,2_after,47.0,9.0,1287.0,strangers
103,101,103_101,3_after,48.0,0.0,1287.0,strangers
101,103,103_101,3_after,48.0,10.0,1287.0,strangers
103,101,103_101,3_before,68.0,0.0,1428.0,strangers
101,103,103_101,3_before,48.0,0.0,1428.0,strangers
103,101,103_101,long_gap,68.0,0.0,1428.0,strangers
101,103,103_101,long_gap,48.0,0.0,1428.0,strangers
103,101,103_101,1_before,68.0,0.0,1428.0,strangers
101,103,103_101,1_before,48.0,0.0,1428.0,strangers
103,101,103_101,2_before,68.0,0.0,1428.0,strangers
101,103,103_101,2_before,48.0,0.0,1428.0,strangers
103,101,103_101,1_after,68.0,0.0,1428.0,strangers
101,103,103_101,1_after,48.0,0.0,1428.0,strangers
103,101,103_101,2_after,68.0,0.0,1428.0,strangers
101,103,103_101,2_after,48.1,0.10000000000000142,1428.0,strangers
103,101,103_101,3_after,68.0,0.0,1428.0,strangers
101,103,103_101,3_after,49.0,1.0,1428.0,strangers
103,101,103_101,3_before,68.0,0.0,2747.0,strangers
101,103,103_101,3_before,49.95,0.0,2747.0,strangers
103,101,103_101,long_gap,73.14814814814815,5.148148148148152,2747.0,strangers
101,103,103_101,long_gap,51.0,1.0499999999999972,2747.0,strangers
103,101,103_101,1_before,68.0,0.0,2747.0,strangers
101,103,103_101,1_before,51.0,1.0499999999999972,2747.0,strangers
103,101,103_101,2_before,68.0,0.0,2747.0,strangers
101,103,103_101,2_before,51.0,1.0499999999999972,2747.0,strangers
103,101,103_101,1_after,79.6,11.599999999999994,2747.0,strangers
101,103,103_101,1_after,51.85,1.8999999999999986,2747.0,strangers
103,101,103_101,2_after,81.35,13.349999999999994,2747.0,strangers
101,103,103_101,2_after,70.1,20.14999999999999,2747.0,strangers
103,101,103_101,3_after,80.7,12.700000000000003,2747.0,strangers
101,103,103_101,3_after,75.0,25.049999999999997,2747.0,strangers
103,101,103_101,3_before,81.25,0.0,1273.0,strangers
101,103,103_101,3_before,58.45,0.0,1273.0,strangers
103,101,103_101,long_gap,83.0,1.75,1273.0,strangers
101,103,103_101,long_gap,75.0,16.549999999999997,1273.0,strangers
103,101,103_101,1_before,81.3,0.04999999999999716,1273.0,strangers
101,103,103_101,1_before,75.0,16.549999999999997,1273.0,strangers
103,101,103_101,2_before,80.55,-0.7000000000000028,1273.0,strangers
101,103,103_101,2_before,75.5,17.049999999999997,1273.0,strangers
103,101,103_101,1_after,83.0,1.75,1273.0,strangers
101,103,103_101,1_after,75.0,16.549999999999997,1273.0,strangers
103,101,103_101,2_after,84.95,3.700000000000003,1273.0,strangers
101,103,103_101,2_after,76.4,17.950000000000003,1273.0,strangers
103,101,103_101,3_after,86.0,4.75,1273.0,strangers
101,103,103_101,3_after,78.0,19.549999999999997,1273.0,strangers
103,101,103_101,3_before,85.0,0.0,1427.0,strangers
101,103,103_101,3_before,78.0,0.0,1427.0,strangers
103,101,103_101,long_gap,89.0,4.0,1427.0,strangers
101,103,103_101,long_gap,92.57142857142857,14.57142857142857,1427.0,strangers
103,101,103_101,1_before,87.05,2.049999999999997,1427.0,strangers
101,103,103_101,1_before,78.7,0.7000000000000028,1427.0,strangers
103,101,103_101,2_before,85.0,0.0,1427.0,strangers
101,103,103_101,2_before,78.0,0.0,1427.0,strangers
103,101,103_101,1_after,91.15,6.150000000000006,1427.0,strangers
101,103,103_101,1_after,93.0,15.0,1427.0,strangers
103,101,103_101,2_after,91.3,6.299999999999997,1427.0,strangers
101,103,103_101,2_after,92.85,14.849999999999994,1427.0,strangers
