subID,partnerID,dyad,timepoint,connection,connection_change,gap_length,condition
103,101,103_101,3_before,63.0,0.0,2388.0,strangers
101,103,103_101,3_before,71.0,0.0,2388.0,strangers
103,101,103_101,long_gap,63.0,0.0,2388.0,strangers
101,103,103_101,long_gap,71.0,0.0,2388.0,strangers
103,101,103_101,1_before,63.0,0.0,2388.0,strangers
101,103,103_101,1_before,71.0,0.0,2388.0,strangers
103,101,103_101,2_before,63.0,0.0,2388.0,strangers
101,103,103_101,2_before,71.0,0.0,2388.0,strangers
103,101,103_101,1_after,63.0,0.0,2388.0,strangers
101,103,103_101,1_after,70.7,-0.29999999999999716,2388.0,strangers
103,101,103_101,2_after,63.95,0.9500000000000028,2388.0,strangers
101,103,103_101,2_after,46.05,-24.950000000000003,2388.0,strangers
103,101,103_101,3_after,65.0,2.0,2388.0,strangers
101,103,103_101,3_after,43.0,-28.0,2388.0,strangers
103,101,103_101,3_before,82.0,0.0,2612.0,strangers
101,103,103_101,3_before,77.85,0.0,2612.0,strangers
103,101,103_101,long_gap,82.15384615384616,0.1538461538461604,2612.0,strangers
101,103,103_101,long_gap,68.42307692307692,-9.426923076923075,2612.0,strangers
103,101,103_101,1_before,82.0,0.0,2612.0,strangers
101,103,103_101,1_before,76.0,-1.8499999999999943,2612.0,strangers
103,101,103_101,2_before,82.0,0.0,2612.0,strangers
101,103,103_101,2_before,76.0,-1.8499999999999943,2612.0,strangers
103,101,103_101,1_after,80.0,-2.0,2612.0,strangers
101,103,103_101,1_after,51.9,-25.949999999999996,2612.0,strangers
103,101,103_101,2_after,80.0,-2.0,2612.0,strangers
101,103,103_101,2_after,42.0,-35.849999999999994,2612.0,strangers
103,101,103_101,3_after,80.0,-2.0,2612.0,strangers
101,103,103_101,3_after,42.0,-35.849999999999994,2612.0,strangers
103,101,103_101,3_before,68.0,0.0,2747.0,strangers
101,103,103_101,3_before,49.95,0.0,2747.0,strangers
103,101,103_101,long_gap,73.14814814814815,5.148148148148152,2747.0,strangers
101,103,103_101,long_gap,51.0,1.0499999999999972,2747.0,strangers
103,101,103_101,1_before,68.0,0.0,2747.0,strangers
101,103,103_101,1_before,51.0,1.0499999999999972,2747.0,strangers
103,101,103_101,2_before,68.0,0.0,2747.0,strangers
101,103,103_101,2_before,51.0,1.0499999999999972,2747.0,strangers
103,101,103_101,1_after,79.6,11.599999999999994,2747.0,strangers
101,103,103_101,1_after,51.85,1.8999999999999986,2747.0,strangers
103,101,103_101,2_after,81.35,13.349999999999994,2747.0,strangers
101,103,103_101,2_after,70.1,20.14999999999999,2747.0,strangers
103,101,103_101,3_after,80.7,12.700000000000003,2747.0,strangers
101,103,103_101,3_after,75.0,25.049999999999997,2747.0,strangers
102,110,102_110,3_before,9.0,0.0,2693.0,strangers
110,102,102_110,3_before,16.0,0.0,2693.0,strangers
102,110,102_110,long_gap,11.74074074074074,2.7407407407407405,2693.0,strangers
110,102,102_110,long_gap,16.0,0.0,2693.0,strangers
102,110,102_110,1_before,10.6,1.5999999999999996,2693.0,strangers
110,102,102_110,1_before,16.0,0.0,2693.0,strangers
102,110,102_110,2_before,9.0,0.0,2693.0,strangers
110,102,102_110,2_before,16.0,0.0,2693.0,strangers
102,110,102_110,1_after,12.0,3.0,2693.0,strangers
110,102,102_110,1_after,16.0,0.0,2693.0,strangers
102,110,102_110,2_after,12.0,3.0,2693.0,strangers
110,102,102_110,2_after,16.0,0.0,2693.0,strangers
102,110,102_110,3_after,21.45,12.45,2693.0,strangers
110,102,102_110,3_after,16.0,0.0,2693.0,strangers
88,85,88_85,3_before,68.0,0.0,5539.0,strangers
85,88,88_85,3_before,63.0,0.0,5539.0,strangers
88,85,88_85,long_gap,68.0,0.0,5539.0,strangers
85,88,88_85,long_gap,47.4,-15.600000000000001,5539.0,strangers
88,85,88_85,1_before,68.0,0.0,5539.0,strangers
85,88,88_85,1_before,61.95,-1.0499999999999972,5539.0,strangers
88,85,88_85,2_before,68.0,0.0,5539.0,strangers
85,88,88_85,2_before,63.0,0.0,5539.0,strangers
88,85,88_85,1_after,68.0,0.0,5539.0,strangers
85,88,88_85,1_after,28.45,-34.55,5539.0,strangers
88,85,88_85,2_after,68.0,0.0,5539.0,strangers
85,88,88_85,2_after,31.7,-31.3,5539.0,strangers
88,85,88_85,3_after,68.0,0.0,5539.0,strangers
85,88,88_85,3_after,32.4,-30.6,5539.0,strangers
81,88,81_88,3_before,0.0,0.0,2796.0,strangers
88,81,81_88,3_before,57.0,0.0,2796.0,strangers
81,88,81_88,long_gap,0.0,0.0,2796.0,strangers
88,81,81_88,long_gap,58.0,1.0,2796.0,strangers
81,88,81_88,1_before,0.0,0.0,2796.0,strangers
88,81,81_88,1_before,58.0,1.0,2796.0,strangers
81,88,81_88,2_before,0.0,0.0,2796.0,strangers
88,81,81_88,2_before,57.85,0.8500000000000014,2796.0,strangers
81,88,81_88,1_after,0.0,0.0,2796.0,strangers
88,81,81_88,1_after,58.0,1.0,2796.0,strangers
81,88,81_88,2_after,0.0,0.0,2796.0,strangers
88,81,81_88,2_after,58.7,1.7000000000000028,2796.0,strangers
81,88,81_88,3_after,0.0,0.0,2796.0,strangers
88,81,81_88,3_after,60.0,3.0,2796.0,strangers
6,7,6_7,3_before,16.0,0.0,2972.0,strangers
7,6,6_7,3_before,22.0,0.0,2972.0,strangers
6,7,6_7,long_gap,16.0,0.0,2972.0,strangers
7,6,6_7,long_gap,22.0,0.0,2972.0,strangers
6,7,6_7,1_before,16.0,0.0,2972.0,strangers
7,6,6_7,1_before,22.0,0.0,2972.0,strangers
6,7,6_7,2_before,16.0,0.0,2972.0,strangers
7,6,6_7,2_before,22.0,0.0,2972.0,strangers
6,7,6_7,1_after,16.0,0.0,2972.0,strangers
7,6,6_7,1_after,22.0,0.0,2972.0,strangers
6,7,6_7,2_after,16.0,0.0,2972.0,strangers
7,6,6_7,2_after,22.0,0.0,2972.0,strangers
6,7,6_7,3_after,16.0,0.0,2972.0,strangers
7,6,6_7,3_after,22.0,0.0,2972.0,strangers
6,7,6_7,3_before,16.0,0.0,2365.0,strangers
7,6,6_7,3_before,22.0,0.0,2365.0,strangers
6,7,6_7,long_gap,16.0,0.0,2365.0,strangers
7,6,6_7,long_gap,22.0,0.0,2365.0,strangers
6,7,6_7,1_before,16.0,0.0,2365.0,strangers
7,6,6_7,1_before,22.0,0.0,2365.0,strangers
6,7,6_7,2_before,16.0,0.0,2365.0,strangers
7,6,6_7,2_before,22.0,0.0,2365.0,strangers
6,7,6_7,1_after,16.0,0.0,2365.0,strangers
7,6,6_7,1_after,22.0,0.0,2365.0,strangers
6,7,6_7,2_after,16.0,0.0,2365.0,strangers
7,6,6_7,2_after,25.75,3.75,2365.0,strangers
6,7,6_7,3_after,16.0,0.0,2365.0,strangers
7,6,6_7,3_after,31.0,9.0,2365.0,strangers
6,7,6_7,3_before,17.15,0.0,2399.0,strangers
7,6,6_7,3_before,31.0,0.0,2399.0,strangers
6,7,6_7,long_gap,25.0,7.850000000000001,2399.0,strangers
7,6,6_7,long_gap,31.0,0.0,2399.0,strangers
6,7,6_7,1_before,25.0,7.850000000000001,2399.0,strangers
7,6,6_7,1_before,31.0,0.0,2399.0,strangers
6,7,6_7,2_before,25.0,7.850000000000001,2399.0,strangers
7,6,6_7,2_before,31.0,0.0,2399.0,strangers
6,7,6_7,1_after,25.0,7.850000000000001,2399.0,strangers
7,6,6_7,1_after,31.0,0.0,2399.0,strangers
6,7,6_7,2_after,25.0,7.850000000000001,2399.0,strangers
7,6,6_7,2_after,31.0,0.0,2399.0,strangers
6,7,6_7,3_after,25.0,7.850000000000001,2399.0,strangers
7,6,6_7,3_after,31.0,0.0,2399.0,strangers
6,7,6_7,3_before,40.0,0.0,3003.0,strangers
7,6,6_7,3_before,51.0,0.0,3003.0,strangers
