subID,partnerID,dyad,timepoint,connection,connection_change,gap_length,condition
88,85,88_85,3_before,68.0,0.0,5539.0,strangers
85,88,88_85,3_before,63.0,0.0,5539.0,strangers
88,85,88_85,long_gap,68.0,0.0,5539.0,strangers
85,88,88_85,long_gap,47.4,-15.600000000000001,5539.0,strangers
88,85,88_85,1_before,68.0,0.0,5539.0,strangers
85,88,88_85,1_before,61.95,-1.0499999999999972,5539.0,strangers
88,85,88_85,2_before,68.0,0.0,5539.0,strangers
85,88,88_85,2_before,63.0,0.0,5539.0,strangers
88,85,88_85,1_after,68.0,0.0,5539.0,strangers
85,88,88_85,1_after,28.45,-34.55,5539.0,strangers
88,85,88_85,2_after,68.0,0.0,5539.0,strangers
85,88,88_85,2_after,31.7,-31.3,5539.0,strangers
88,85,88_85,3_after,68.0,0.0,5539.0,strangers
85,88,88_85,3_after,32.4,-30.6,5539.0,strangers
6,7,6_7,3_before,40.0,0.0,3003.0,strangers
7,6,6_7,3_before,51.0,0.0,3003.0,strangers
6,7,6_7,long_gap,40.0,0.0,3003.0,strangers
7,6,6_7,long_gap,56.8,5.799999999999997,3003.0,strangers
6,7,6_7,1_before,40.0,0.0,3003.0,strangers
7,6,6_7,1_before,51.3,0.29999999999999716,3003.0,strangers
6,7,6_7,2_before,40.0,0.0,3003.0,strangers
7,6,6_7,2_before,51.0,0.0,3003.0,strangers
6,7,6_7,1_after,40.0,0.0,3003.0,strangers
7,6,6_7,1_after,57.0,6.0,3003.0,strangers
6,7,6_7,2_after,40.0,0.0,3003.0,strangers
7,6,6_7,2_after,57.0,6.0,3003.0,strangers
6,7,6_7,3_after,40.0,0.0,3003.0,strangers
7,6,6_7,3_after,57.0,6.0,3003.0,strangers
6,7,6_7,3_before,48.0,0.0,4523.0,strangers
7,6,6_7,3_before,57.0,0.0,4523.0,strangers
6,7,6_7,long_gap,30.77777777777778,-17.22222222222222,4523.0,strangers
7,6,6_7,long_gap,57.0,0.0,4523.0,strangers
6,7,6_7,1_before,48.0,0.0,4523.0,strangers
7,6,6_7,1_before,57.0,0.0,4523.0,strangers
6,7,6_7,2_before,48.0,0.0,4523.0,strangers
7,6,6_7,2_before,57.0,0.0,4523.0,strangers
6,7,6_7,1_after,30.0,-18.0,4523.0,strangers
7,6,6_7,1_after,60.9,3.8999999999999986,4523.0,strangers
6,7,6_7,2_after,30.0,-18.0,4523.0,strangers
7,6,6_7,2_after,62.0,5.0,4523.0,strangers
6,7,6_7,3_after,30.0,-18.0,4523.0,strangers
7,6,6_7,3_after,62.0,5.0,4523.0,strangers
60,62,60_62,3_before,40.0,0.0,3082.0,strangers
62,60,60_62,3_before,50.0,0.0,3082.0,strangers
60,62,60_62,long_gap,38.96774193548387,-1.0322580645161281,3082.0,strangers
62,60,60_62,long_gap,50.0,0.0,3082.0,strangers
60,62,60_62,1_before,40.0,0.0,3082.0,strangers
62,60,60_62,1_before,50.0,0.0,3082.0,strangers
60,62,60_62,2_before,40.0,0.0,3082.0,strangers
62,60,60_62,2_before,50.0,0.0,3082.0,strangers
60,62,60_62,1_after,35.0,-5.0,3082.0,strangers
62,60,60_62,1_after,50.0,0.0,3082.0,strangers
60,62,60_62,2_after,35.0,-5.0,3082.0,strangers
62,60,60_62,2_after,50.0,0.0,3082.0,strangers
60,62,60_62,3_after,35.0,-5.0,3082.0,strangers
62,60,60_62,3_after,50.0,0.0,3082.0,strangers
41,46,41_46,3_before,27.0,0.0,3849.0,strangers
46,41,41_46,3_before,35.0,0.0,3849.0,strangers
41,46,41_46,long_gap,27.0,0.0,3849.0,strangers
46,41,41_46,long_gap,35.0,0.0,3849.0,strangers
41,46,41_46,1_before,27.0,0.0,3849.0,strangers
46,41,41_46,1_before,35.0,0.0,3849.0,strangers
41,46,41_46,2_before,27.0,0.0,3849.0,strangers
46,41,41_46,2_before,35.0,0.0,3849.0,strangers
41,46,41_46,1_after,27.0,0.0,3849.0,strangers
46,41,41_46,1_after,35.0,0.0,3849.0,strangers
41,46,41_46,2_after,27.0,0.0,3849.0,strangers
46,41,41_46,2_after,35.0,0.0,3849.0,strangers
41,46,41_46,3_after,27.0,0.0,3849.0,strangers
46,41,41_46,3_after,35.0,0.0,3849.0,strangers
102,106,102_106,3_before,62.0,0.0,3457.0,strangers
106,102,102_106,3_before,41.0,0.0,3457.0,strangers
102,106,102_106,long_gap,63.91428571428571,1.914285714285711,3457.0,strangers
106,102,102_106,long_gap,42.628571428571426,1.6285714285714263,3457.0,strangers
102,106,102_106,1_before,63.0,1.0,3457.0,strangers
106,102,102_106,1_before,41.0,0.0,3457.0,strangers
102,106,102_106,2_before,61.8,-0.20000000000000284,3457.0,strangers
106,102,102_106,2_before,41.0,0.0,3457.0,strangers
102,106,102_106,1_after,64.0,2.0,3457.0,strangers
106,102,102_106,1_after,44.0,3.0,3457.0,strangers
102,106,102_106,2_after,64.0,2.0,3457.0,strangers
106,102,102_106,2_after,44.0,3.0,3457.0,strangers
102,106,102_106,3_after,64.0,2.0,3457.0,strangers
106,102,102_106,3_after,44.0,3.0,3457.0,strangers
102,106,102_106,3_before,59.0,0.0,3199.0,strangers
106,102,102_106,3_before,46.0,0.0,3199.0,strangers
102,106,102_106,long_gap,59.0,0.0,3199.0,strangers
